user,win_id,start,detected_at,ttd_days
90,1,2010-12-20 23:00:00,2010-12-20 23:00:00,0.0
90,2,2011-01-11 23:00:00,2011-01-11 23:00:00,0.0
90,3,2011-01-19 23:00:00,2011-01-19 23:00:00,0.0
90,4,2011-01-23 23:00:00,2011-01-23 23:00:00,0.0
90,5,2011-01-30 23:00:00,2011-01-30 23:00:00,0.0
90,6,2011-02-09 23:00:00,2011-02-09 23:00:00,0.0
90,7,2011-02-20 23:00:00,2011-02-20 23:00:00,0.0
90,8,2011-03-01 23:00:00,2011-03-01 23:00:00,0.0
90,9,2011-03-07 23:00:00,2011-03-07 23:00:00,0.0
90,10,2011-03-16 23:00:00,2011-03-16 23:00:00,0.0
122,1,2010-10-31 23:00:00,2010-10-31 23:00:00,0.0
122,2,2010-11-04 23:00:00,2010-11-04 23:00:00,0.0
122,3,2010-11-21 23:00:00,2010-11-21 23:00:00,0.0
122,4,2010-12-01 23:00:00,2010-12-01 23:00:00,0.0
122,5,2010-12-12 23:00:00,2010-12-12 23:00:00,0.0
122,6,2010-12-15 23:00:00,2010-12-15 23:00:00,0.0
122,7,2010-12-19 23:00:00,2010-12-19 23:00:00,0.0
122,8,2010-12-29 23:00:00,2010-12-29 23:00:00,0.0
179,1,2010-12-19 23:00:00,2010-12-19 23:00:00,0.0
179,2,2011-01-24 23:00:00,2011-01-24 23:00:00,0.0
179,3,2011-01-27 23:00:00,2011-01-27 23:00:00,0.0
179,4,2011-01-31 23:00:00,2011-01-31 23:00:00,0.0
179,5,2011-02-02 23:00:00,2011-02-02 23:00:00,0.0
179,6,2011-02-08 23:00:00,,
179,7,2011-02-13 23:00:00,2011-02-13 23:00:00,0.0
309,1,2011-02-04 23:00:00,2011-02-04 23:00:00,0.0
309,2,2011-02-08 23:00:00,2011-02-08 23:00:00,0.0
309,3,2011-02-10 23:00:00,2011-02-10 23:00:00,0.0
619,1,2010-07-25 22:00:00,2010-07-25 22:00:00,0.0
619,2,2010-08-25 22:00:00,2010-08-25 22:00:00,0.0
619,3,2010-08-29 22:00:00,2010-08-29 22:00:00,0.0
619,4,2010-08-31 22:00:00,,
619,5,2010-09-06 22:00:00,2010-09-06 22:00:00,0.0
619,6,2010-09-09 22:00:00,2010-09-09 22:00:00,0.0
619,7,2010-09-20 22:00:00,,
648,1,2010-07-05 22:00:00,,
648,2,2010-08-18 22:00:00,,
725,1,2010-10-12 22:00:00,2010-10-13 22:00:00,1.0
725,2,2010-10-18 22:00:00,2010-10-18 22:00:00,0.0
796,1,2010-07-25 22:00:00,,
796,2,2010-08-30 22:00:00,,
796,3,2010-09-02 22:00:00,,
796,4,2010-09-08 22:00:00,,
796,5,2010-09-22 22:00:00,,
1007,1,2011-05-11 22:00:00,,
1082,1,2010-09-08 22:00:00,2010-09-08 22:00:00,0.0
1082,2,2010-09-13 22:00:00,2010-09-14 22:00:00,1.0
1087,1,2010-08-17 22:00:00,2010-08-19 22:00:00,2.0
1087,2,2010-09-19 22:00:00,,
1087,3,2010-09-22 22:00:00,,
1087,4,2010-09-25 22:00:00,,
1087,5,2010-09-27 22:00:00,2010-09-28 22:00:00,1.0
1087,6,2010-10-01 22:00:00,,
1087,7,2010-10-04 22:00:00,,
1087,8,2010-10-12 22:00:00,2010-10-12 22:00:00,0.0
1173,1,2011-02-09 23:00:00,2011-02-09 23:00:00,0.0
1207,1,2010-12-20 23:00:00,2010-12-20 23:00:00,0.0
1207,2,2011-01-05 23:00:00,2011-01-05 23:00:00,0.0
1207,3,2011-01-16 23:00:00,2011-01-16 23:00:00,0.0
1207,4,2011-01-25 23:00:00,2011-01-25 23:00:00,0.0
1207,5,2011-02-03 23:00:00,,
1207,6,2011-02-07 23:00:00,2011-02-07 23:00:00,0.0
1207,7,2011-02-09 23:00:00,2011-02-09 23:00:00,0.0
1207,8,2011-02-17 23:00:00,2011-02-17 23:00:00,0.0
1207,9,2011-02-21 23:00:00,2011-02-21 23:00:00,0.0
1259,1,2011-02-02 23:00:00,2011-02-02 23:00:00,0.0
1259,2,2011-02-10 23:00:00,2011-02-10 23:00:00,0.0
1259,3,2011-02-15 23:00:00,2011-02-15 23:00:00,0.0
1259,4,2011-02-17 23:00:00,2011-02-17 23:00:00,0.0
1259,5,2011-03-01 23:00:00,2011-03-01 23:00:00,0.0
1259,6,2011-03-06 23:00:00,2011-03-06 23:00:00,0.0
1411,1,2010-10-24 22:00:00,2010-10-25 22:00:00,1.0
1562,1,2010-11-14 23:00:00,2010-11-14 23:00:00,0.0
1562,2,2010-11-17 23:00:00,2010-11-17 23:00:00,0.0
1562,3,2010-12-15 23:00:00,2010-12-15 23:00:00,0.0
1562,4,2010-12-26 23:00:00,2010-12-26 23:00:00,0.0
1562,5,2010-12-28 23:00:00,2010-12-28 23:00:00,0.0
1562,6,2011-01-02 23:00:00,2011-01-02 23:00:00,0.0
1562,7,2011-01-04 23:00:00,2011-01-04 23:00:00,0.0
1562,8,2011-01-09 23:00:00,2011-01-09 23:00:00,0.0
1562,9,2011-01-12 23:00:00,2011-01-12 23:00:00,0.0
1562,10,2011-01-17 23:00:00,2011-01-17 23:00:00,0.0
1562,11,2011-01-19 23:00:00,2011-01-19 23:00:00,0.0
1562,12,2011-01-31 23:00:00,2011-01-31 23:00:00,0.0
1562,13,2011-02-06 23:00:00,2011-02-06 23:00:00,0.0
1609,1,2011-02-16 23:00:00,2011-02-16 23:00:00,0.0
